Secuencia,Tipo Dispositivo,Grupo,Modelo equipo,Placa,MSISDN,Alias,IMEI,Latitud,Longitud,Hora de última transmisión,Estado de transmisión,Estado de ignición,% Batería,Odómetro (Km)
145,Automotor,INTERIOR,Tracker X1,ML083ZT,549357341599,10167,351820092232445,-38.355512,-62.963837,"lunes, 07 de septiembre de 2026 08:20:30",En línea,Apagado,23,243119
146,Automotor,INTERIOR,Tracker X1,KE881OU,549180739989,10168,832136593286936,-36.79145,-62.003598,"miércoles, 09 de septiembre de 2026 10:45:37",En línea,Encendido,94,51926
147,Automotor,INTERIOR,Tracker X1,HC164HZ,549908239266,0548486,689184693593100,-39.747832,-58.089593,"sábado, 20 de junio de 2026 23:37:34",Apagado o fuera de cobertura,Apagado,40,340513
148,Automotor,CAMINERA,Tracker X2,KP271XL,549535868236,REPUESTO,154750980317623,-34.705423,-60.484715,"viernes, 04 de septiembre de 2026 13:46:50",En línea,Apagado,62,430993
149,Automotor,INTERIOR,Tracker X2,GF594ZE,549058702600,4451901,955374339221985,-36.440489,-63.652036,"viernes, 04 de septiembre de 2026 23:27:11",En línea,Apagado,94,316538
150,Automotor,INTERIOR,Tracker X1,CD686CX,549693657147,3147772,033381850438544,-30.913978,-67.249025,"domingo, 06 de septiembre de 2026 18:45:10",En línea,Apagado,27,306705
151,Automotor,CAMINERA,Tracker X2,JN943CP,549279840647,10173,941441520469751,-30.56495,-66.274083,"lunes, 17 de agosto de 2026 23:32:33",Apagado o fuera de cobertura,Apagado,14,160423
152,Automotor,CAMINERA,Tracker X2,TO594BL,549871894349,10174,451418619757894,-37.9258,-66.470043,"domingo, 06 de septiembre de 2026 15:08:50",En línea,Apagado,83,433325
153,Automotor,INTERIOR,Starlink ER-01,PB186JN,549532796410,10175,058130459980618,-33.911335,-61.747935,"sábado, 29 de agosto de 2026 13:33:39",Apagado o fuera de cobertura,Apagado,9,103242
154,Automotor,CAMINERA,Tracker X1,EH131DR,549752849973,10176,411427674754705,-34.270423,-63.946141,"jueves, 13 de agosto de 2026 15:49:53",Apagado o fuera de cobertura,Apagado,17,253017
155,Automotor,CAPITAL,Tracker X2,EY534WG,549109912952,10177,642797192150064,-37.891558,-58.229634,"sábado, 20 de junio de 2026 08:21:36",Apagado o fuera de cobertura,Apagado,14,454973
156,Automotor,CAMINERA,Tracker X1,AZ000YT,549807598559,10178,316645210958848,-32.483236,-65.031907,"sábado, 05 de septiembre de 2026 21:07:50",En línea,Apagado,95,428097
157,Automotor,PATRULLA RURAL,Tracker X2,YR968MX,549735067298,10179,538059997860217,-35.296448,-63.274964,"domingo, 06 de septiembre de 2026 20:09:45",En línea,Encendido,44,458618
158,Automotor,INTERIOR,Starlink ER-01,IF642RW,549168121139,10180,524801374814772,-35.888613,-65.976642,"martes, 18 de agosto de 2026 18:54:00",Apagado o fuera de cobertura,Apagado,31,484597
159,Automotor,CAPITAL,Tracker X1,HN169CD,549148885541,10181,587320690028976,-35.560726,-66.063563,"lunes, 03 de agosto de 2026 19:38:28",Apagado o fuera de cobertura,Apagado,9,230582
160,Automotor,CAMINERA,Starlink ER-01,QL688QN,549419672323,10182,612237187840337,-38.622755,-60.914996,"lunes, 07 de septiembre de 2026 06:29:26",En línea,Apagado,22,400237
161,Automotor,PATRULLA RURAL,Starlink ER-01,VN385NZ,549203033184,10183,434850705894109,-39.489697,-60.992035,"miércoles, 09 de septiembre de 2026 00:55:25",En línea,Apagado,33,44102
162,Automotor,PATRULLA RURAL,Tracker X2,MT986QX,549487798905,8707768,099115024184417,-37.569668,-59.3733,"miércoles, 09 de septiembre de 2026 10:04:23",En línea,Encendido,77,198243
163,Automotor,CAPITAL,Starlink ER-01,ME526VH,549824233494,10185,049240430537504,-39.854089,-67.9951,"martes, 08 de septiembre de 2026 14:11:33",En línea,Apagado,78,64109
164,Automotor,CAMINERA,Tracker X2,QS086SV,549406160833,10186,265909519529930,-34.266603,-59.59051,"sábado, 05 de septiembre de 2026 21:43:55",En línea,Apagado,28,440212
165,Automotor,CAPITAL,Tracker X2,ER669YO,549804325330,10187,369952670589922,-39.933466,-63.826309,"lunes, 07 de septiembre de 2026 19:06:53",En línea,Apagado,50,407218
166,Automotor,CAPITAL,Starlink ER-01,JE198GC,549522026775,10188,243260896010423,-31.872719,-67.627976,"domingo, 21 de junio de 2026 22:02:17",Apagado o fuera de cobertura,Apagado,1,233237
167,Automotor,CAPITAL,Tracker X2,FP957KO,549425990869,10189,098875895250283,-32.757433,-58.564008,"martes, 08 de septiembre de 2026 23:09:08",En línea,Apagado,51,289848
168,Automotor,INTERIOR,Tracker X2,TD904MX,549893922800,10190,941493246076962,-36.195986,-66.269403,"martes, 08 de septiembre de 2026 00:08:09",En línea,Apagado,41,149694
169,Automotor,INTERIOR,Tracker X2,CI865IC,549924936290,10191,571809313670247,-31.897408,-64.205789,"domingo, 06 de septiembre de 2026 23:33:26",En línea,Apagado,44,267389
170,Automotor,INTERIOR,Tracker X2,JF239DL,549585521620,10192,182378928691020,-35.768224,-65.358525,"sábado, 05 de septiembre de 2026 14:05:44",En línea,Apagado,51,460477
171,Automotor,INTERIOR,Tracker X1,EI703LR,549052420298,5834438,214461562273398,-38.009878,-59.51492,"viernes, 04 de septiembre de 2026 01:33:25",En línea,Encendido,98,220113
172,Automotor,INTERIOR,Tracker X1,GH201HA,549276762110,10194,629572198874757,-33.400379,-59.725732,"lunes, 07 de septiembre de 2026 19:32:18",En línea,Encendido,95,120510
173,Automotor,CAMINERA,Tracker X2,KL756RC,549876121400,10195,598252324779577,-36.170911,-67.9263,"lunes, 06 de julio de 2026 06:01:06",Apagado o fuera de cobertura,Apagado,18,246724
174,Automotor,PATRULLA RURAL,Starlink ER-01,YP448WD,549128246986,10196,395462326323445,-30.280322,-64.621176,"miércoles, 09 de septiembre de 2026 16:56:11",En línea,Apagado,67,277727
175,Automotor,CAMINERA,Tracker X2,KP228BB,549372867831,10198,212962216096672,-31.406046,-64.878304,"viernes, 31 de julio de 2026 04:33:28",Apagado o fuera de cobertura,Apagado,24,80264
176,Automotor,CAMINERA,Tracker X2,JH820PX,549806104431,10199,444740230770644,-35.038482,-67.760134,"martes, 30 de junio de 2026 01:43:51",Apagado o fuera de cobertura,Apagado,32,209605
177,Automotor,CAPITAL,Tracker X2,OH096EJ,549873644085,10200,175240992928769,-34.600752,-61.719055,"sábado, 05 de septiembre de 2026 16:07:14",En línea,Encendido,69,317112
